id,question,heir,fardh,sahm,asalMasalah,notes,needsReview
1,زوج، عم,زوج,1/2,1,2,,False
1,زوج، عم,عم,عصبة,1,2,,False
2,زوج، ابن,زوج,1/4,1,4,,True
2,زوج، ابن,ابن,مراجعة,3,4,,True
3,زوجة، عم,زوجة,1/4,1,4,,False
3,زوجة، عم,عم,عصبة,3,4,,False
4,زوجة، ابن,زوجة,1/8,1,8,,True
4,زوجة، ابن,ابن,مراجعة,7,8,,True
5,أب، ابن,أب,1/6,1,6,,True
5,أب، ابن,ابن,مراجعة,5,6,,True
6,زوج، أب,زوج,1/2,1,2,,False
6,زوج، أب,أب,عصبة,1,2,,False
7,زوجة، أب,زوجة,1/4,1,4,,False
7,زوجة، أب,أب,عصبة,3,4,,False
8,زوج، أب، ابن,زوج,1/4,3,12,,True
8,زوج، أب، ابن,أب,1/6,2,12,,True
8,زوج، أب، ابن,ابن,مراجعة,7,12,,True
9,زوجة، أب، ابن,زوجة,1/8,3,24,,True
9,زوجة، أب، ابن,أب,1/6,4,24,,True
9,زوجة، أب، ابن,ابن,مراجعة,17,24,,True
10,أم، عم,أم,1/3,1,3,,False
10,أم، عم,عم,عصبة,2,3,,False
11,أم، ابن,أم,1/6,1,6,,True
11,أم، ابن,ابن,مراجعة,5,6,,True
12,أم، أب,أم,1/3,1,3,,False
12,أم، أب,أب,عصبة,2,3,,False
13,زوج، أم، عم,زوج,1/2,3,6,,False
13,زوج، أم، عم,أم,1/3,2,6,,False
13,زوج، أم، عم,عم,عصبة,1,6,,False
14,زوج، أم، ابن,زوج,1/4,3,12,,True
14,زوج، أم، ابن,أم,1/6,2,12,,True
14,زوج، أم، ابن,ابن,مراجعة,7,12,,True
15,زوجة، أم، عم,زوجة,1/4,3,12,,False
15,زوجة، أم، عم,أم,1/3,4,12,,False
15,زوجة، أم، عم,عم,عصبة,5,12,,False
16,زوجة، أم، ابن,زوجة,1/8,3,24,,True
16,زوجة، أم، ابن,أم,1/6,4,24,,True
16,زوجة، أم، ابن,ابن,مراجعة,17,24,,True
17,زوج، أم، أب,زوج,1/2,3,6,,False
17,زوج، أم، أب,أم,1/3 الباقي,1,6,,False
17,زوج، أم، أب,أب,عصبة,2,6,,False
18,زوجة، أم، أب,زوجة,1/4,1,4,,False
18,زوجة، أم، أب,أم,1/3 الباقي,1,4,,False
18,زوجة، أم، أب,أب,عصبة,2,4,,False
19,زوج، أم، أب، ابن,زوج,1/4,3,12,,True
19,زوج، أم، أب، ابن,أم,1/6,2,12,,True
19,زوج، أم، أب، ابن,أب,1/6,2,12,,True
19,زوج، أم، أب، ابن,ابن,مراجعة,5,12,,True
20,زوجة، أم، أب، ابن,زوجة,1/8,3,24,,True
20,زوجة، أم، أب، ابن,أم,1/6,4,24,,True
20,زوجة، أم، أب، ابن,أب,1/6,4,24,,True
20,زوجة، أم، أب، ابن,ابن,مراجعة,13,24,,True
21,جد، ابن,جد,1/6,1,6,,True
21,جد، ابن,ابن,مراجعة,5,6,,True
22,زوج، جد,زوج,1/2,1,2,,False
22,زوج، جد,جد,عصبة,1,2,,False
23,زوجة، جد,زوجة,1/4,1,4,,False
23,زوجة، جد,جد,عصبة,3,4,,False
24,زوج، جد، ابن,زوج,1/4,3,12,,True
24,زوج، جد، ابن,جد,1/6,2,12,,True
24,زوج، جد، ابن,ابن,مراجعة,7,12,,True
25,زوجة، جد، ابن,زوجة,1/8,3,24,,True
25,زوجة، جد، ابن,جد,1/6,4,24,,True
25,زوجة، جد، ابن,ابن,مراجعة,17,24,,True
26,أم، جد,أم,1/3,1,3,,False
26,أم، جد,جد,عصبة,2,3,,False
27,زوج، أم، جد,زوج,1/2,3,6,,False
27,زوج، أم، جد,أم,1/3,2,6,,False
27,زوج، أم، جد,جد,عصبة,1,6,,False
28,زوجة، أم، جد,زوجة,1/4,3,12,,False
28,زوجة، أم، جد,أم,1/3,4,12,,False
28,زوجة، أم، جد,جد,عصبة,5,12,,False
29,زوج، أم، جد، ابن,زوج,1/4,3,12,,True
29,زوج، أم، جد، ابن,أم,1/6,2,12,,True
29,زوج، أم، جد، ابن,جد,1/6,2,12,,True
29,زوج، أم، جد، ابن,ابن,مراجعة,5,12,,True
30,زوجة، أم، جد، ابن,زوجة,1/8,3,24,,True
30,زوجة، أم، جد، ابن,أم,1/6,4,24,,True
30,زوجة، أم، جد، ابن,جد,1/6,4,24,,True
30,زوجة، أم، جد، ابن,ابن,مراجعة,13,24,,True
31,جدة، عم,جدة,1/6,1,6,,False
31,جدة، عم,عم,عصبة,5,6,,False
32,جدة، ابن,جدة,1/6,1,6,,True
32,جدة، ابن,ابن,مراجعة,5,6,,True
33,جدة، أب,جدة,1/6,1,6,,False
33,جدة، أب,أب,عصبة,5,6,,False
34,زوج، جدة، عم,زوج,1/2,3,6,,False
34,زوج، جدة، عم,جدة,1/6,1,6,,False
34,زوج، جدة، عم,عم,عصبة,2,6,,False
35,زوج، جدة، ابن,زوج,1/4,3,12,,True
35,زوج، جدة، ابن,جدة,1/6,2,12,,True
35,زوج، جدة، ابن,ابن,مراجعة,7,12,,True
36,زوجة، جدة، عم,زوجة,1/4,3,12,,False
36,زوجة، جدة، عم,جدة,1/6,2,12,,False
36,زوجة، جدة، عم,عم,عصبة,7,12,,False
