id,question,heirs,asalMasalah,answers,explanation
1,زوج,زوج,,,
2,زوج، عم,زوج | عم,,,
3,زوج، ابن,زوج | ابن,,,
4,زوجة,زوجة,,,
5,زوجة، عم,زوجة | عم,,,
6,زوجة، ابن,زوجة | ابن,,,
7,أب,أب,,,
8,أب، ابن,أب | ابن,,,
9,زوج، أب,زوج | أب,,,
10,زوجة، أب,زوجة | أب,,,
11,زوج، أب، ابن,زوج | أب | ابن,,,
12,زوجة، أب، ابن,زوجة | أب | ابن,,,
13,أم,أم,,,
14,أم، عم,أم | عم,,,
15,أم، ابن,أم | ابن,,,
16,أم، أب,أم | أب,,,
17,زوج، أم، عم,زوج | أم | عم,,,
18,زوج، أم، ابن,زوج | أم | ابن,,,
19,زوجة، أم، عم,زوجة | أم | عم,,,
20,زوجة، أم، ابن,زوجة | أم | ابن,,,
21,زوج، أم، أب,زوج | أم | أب,,,
22,زوجة، أم، أب,زوجة | أم | أب,,,
23,زوج، أم، أب، ابن,زوج | أم | أب | ابن,,,
24,زوجة، أم، أب، ابن,زوجة | أم | أب | ابن,,,
25,جدّ,جدّ,,,
26,جد، ابن,جد | ابن,,,
27,زوج، جد,زوج | جد,,,
28,زوجة، جد,زوجة | جد,,,
29,زوج، جد، ابن,زوج | جد | ابن,,,
30,زوجة، جد، ابن,زوجة | جد | ابن,,,
31,أم، جد,أم | جد,,,
32,زوج، أم، جد,زوج | أم | جد,,,
33,زوجة، أم، جد,زوجة | أم | جد,,,
34,زوج، أم، جد، ابن,زوج | أم | جد | ابن,,,
35,زوجة، أم، جد، ابن,زوجة | أم | جد | ابن,,,
36,جدة,جدة,,,
37,جدة، عم,جدة | عم,,,
38,جدة، ابن,جدة | ابن,,,
39,جدة، أب,جدة | أب,,,
40,زوج، جدة، عم,زوج | جدة | عم,,,
41,زوج، جدة، ابن,زوج | جدة | ابن,,,
42,زوجة، جدة، عم,زوجة | جدة | عم,,,
43,زوجة، جدة، ابن,زوجة | جدة | ابن,,,
44,زوج، جدة، أب,زوج | جدة | أب,,,
45,زوجة، جدة، أب,زوجة | جدة | أب,,,
46,زوج، جدة، أب، ابن,زوج | جدة | أب | ابن,,,
47,زوجة، جدة، أب، ابن,زوجة | جدة | أب | ابن,,,
48,جدة، جد,جدة | جد,,,
49,زوج، جدة، جد,زوج | جدة | جد,,,
50,زوجة، جدة، جد,زوجة | جدة | جد,,,
51,زوج، جدة، جد، ابن,زوج | جدة | جد | ابن,,,
52,زوجة، جدة، جد، ابن,زوجة | جدة | جد | ابن,,,
53,بنت/بنات,بنت/بنات,,,
54,بنت، عم,بنت | عم,,,
55,بنت، ابن,بنت | ابن,,,
56,زوج، بنت، عم,زوج | بنت | عم,,,
57,زوجة، بنت، عم,زوجة | بنت | عم,,,
58,زوج، بنت، ابن,زوج | بنت | ابن,,,
59,زوجة، بنت، ابن,زوجة | بنت | ابن,,,
60,بنت، أب,بنت | أب,,,
61,أب، بنت، ابن,أب | بنت | ابن,,,
62,بنت، أم، عم,بنت | أم | عم,,,
63,بنت، أم، ابن,بنت | أم | ابن,,,
64,بنت، جد,بنت | جد,,,
65,بنت، جد، ابن,بنت | جد | ابن,,,
66,بنت، جدة، عم,بنت | جدة | عم,,,
67,بنت، جدة، ابن,بنت | جدة | ابن,,,
68,زوج، بنت، أب,زوج | بنت | أب,,,
69,زوج، أب، بنت، ابن,زوج | أب | بنت | ابن,,,
70,زوجة، بنت، أب,زوجة | بنت | أب,,,
71,زوجة، أب، بنت، ابن,زوجة | أب | بنت | ابن,,,
